order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,extract_time,source
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,1714409902.288391,DB
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,1714409902.288391,DB
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,1714409902.288391,DB
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,1714409902.288391,DB
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,1714409902.288391,DB
6,94,4,1016-01-04,1016-01-07,1016-01-05,2,6,1714409902.288391,DB
7,324,4,1016-01-04,1016-01-07,1016-01-05,2,6,1714409902.288391,DB
8,1204,4,1016-01-04,1016-01-05,1016-01-05,2,7,1714409902.288391,DB
9,60,4,1016-01-05,1016-01-08,1016-01-08,1,2,1714409902.288391,DB
10,442,4,1016-01-05,1016-01-06,1016-01-06,2,6,1714409902.288391,DB
11,1326,4,1016-01-05,1016-01-08,1016-01-07,2,7,1714409902.288391,DB
12,91,4,1016-01-06,1016-01-08,1016-01-09,1,2,1714409902.288391,DB
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,1714409902.288391,DB
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,1714409902.288391,DB
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,1714409902.288391,DB
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,1714409902.288391,DB
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,1714409902.288391,DB
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,1714409902.288391,DB
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2,1714409902.288391,DB
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2,1714409902.288391,DB
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,1714409902.288391,DB
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2,1714409902.288391,DB
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,1714409902.288391,DB
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7,1714409902.288391,DB
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,1714409902.288391,DB
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,1714409902.288391,DB
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,1714409902.288391,DB
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6,1714409902.288391,DB
29,437,4,2016-01-20,2016-01-22,2016-01-21,2,6,1714409902.288391,DB
30,1348,4,2016-01-20,2016-01-21,2016-01-21,2,6,1714409902.288391,DB
31,1238,4,2016-01-20,2016-01-22,2016-01-22,3,8,1714409902.288391,DB
32,1259,4,2016-01-21,2016-01-24,2016-01-22,1,3,1714409902.288391,DB
33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6,1714409902.288391,DB
34,80,4,2016-01-22,2016-01-25,2016-01-23,2,6,1714409902.288391,DB
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,1714409902.288391,DB
36,1321,4,2016-01-23,2016-01-24,2016-01-24,2,6,1714409902.288391,DB
37,164,4,2016-01-25,2016-01-28,2016-01-26,2,6,1714409902.288391,DB
38,583,4,2016-01-25,2016-01-27,2016-01-26,2,7,1714409902.288391,DB
