order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,extract_time,source,late_delivery
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,1714409902.288391,DB,False
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,1714409902.288391,DB,False
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,1714409902.288391,DB,False
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,1714409902.288391,DB,True
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,1714409902.288391,DB,False
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,1714409902.288391,DB,False
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,1714409902.288391,DB,True
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,1714409902.288391,DB,True
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,1714409902.288391,DB,False
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,1714409902.288391,DB,False
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,1714409902.288391,DB,False
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2,1714409902.288391,DB,False
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2,1714409902.288391,DB,True
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,1714409902.288391,DB,True
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2,1714409902.288391,DB,False
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,1714409902.288391,DB,False
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7,1714409902.288391,DB,False
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,1714409902.288391,DB,False
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,1714409902.288391,DB,False
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,1714409902.288391,DB,False
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6,1714409902.288391,DB,True
29,437,4,2016-01-20,2016-01-22,2016-01-21,2,6,1714409902.288391,DB,False
30,1348,4,2016-01-20,2016-01-21,2016-01-21,2,6,1714409902.288391,DB,False
31,1238,4,2016-01-20,2016-01-22,2016-01-22,3,8,1714409902.288391,DB,False
32,1259,4,2016-01-21,2016-01-24,2016-01-22,1,3,1714409902.288391,DB,False
33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6,1714409902.288391,DB,False
34,80,4,2016-01-22,2016-01-25,2016-01-23,2,6,1714409902.288391,DB,False
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,1714409902.288391,DB,False
36,1321,4,2016-01-23,2016-01-24,2016-01-24,2,6,1714409902.288391,DB,False
37,164,4,2016-01-25,2016-01-28,2016-01-26,2,6,1714409902.288391,DB,False
38,583,4,2016-01-25,2016-01-27,2016-01-26,2,7,1714409902.288391,DB,False
39,1296,4,2016-01-25,2016-01-26,2016-01-26,2,7,1714409902.288391,DB,False
40,348,4,2016-01-27,2016-01-28,2016-01-29,1,3,1714409902.288391,DB,True
41,979,4,2016-01-27,2016-01-30,2016-01-29,2,6,1714409902.288391,DB,False
42,1095,4,2016-01-27,2016-01-28,2016-01-30,2,7,1714409902.288391,DB,True
43,1434,4,2016-01-27,2016-01-28,2016-01-30,2,7,1714409902.288391,DB,True
44,861,4,2016-01-28,2016-01-31,2016-01-30,2,7,1714409902.288391,DB,False
45,1220,4,2016-01-28,2016-01-31,2016-01-31,2,7,1714409902.288391,DB,False
46,746,4,2016-01-29,2016-01-31,2016-01-31,2,7,1714409902.288391,DB,False
47,1234,4,2016-01-29,2016-01-30,2016-01-31,2,7,1714409902.288391,DB,True
48,1012,4,2016-01-30,2016-02-01,2016-02-02,2,7,1714409902.288391,DB,True
49,608,4,2016-01-31,2016-02-01,2016-02-02,2,6,1714409902.288391,DB,True
50,872,4,2016-01-31,2016-02-03,2016-02-02,3,8,1714409902.288391,DB,False
51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7,1714409902.288391,DB,True
52,767,4,2016-02-03,2016-02-04,2016-02-05,1,2,1714409902.288391,DB,True
53,965,4,2016-02-03,2016-02-04,2016-02-05,2,6,1714409902.288391,DB,True
54,535,4,2016-02-04,2016-02-07,2016-02-07,2,7,1714409902.288391,DB,False
55,1173,4,2016-02-04,2016-02-07,2016-02-06,2,6,1714409902.288391,DB,False
56,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6,1714409902.288391,DB,True
57,1305,4,2016-02-04,2016-02-06,2016-02-06,2,7,1714409902.288391,DB,False
58,504,4,2016-02-05,2016-02-07,2016-02-07,2,6,1714409902.288391,DB,False
59,563,4,2016-02-05,2016-02-07,2016-02-06,2,7,1714409902.288391,DB,False
60,151,4,2016-02-06,2016-02-08,2016-02-07,1,3,1714409902.288391,DB,False
61,277,4,2016-02-06,2016-02-09,2016-02-09,2,7,1714409902.288391,DB,False
62,208,4,2016-02-07,2016-02-10,2016-02-10,1,2,1714409902.288391,DB,False
63,1075,4,2016-02-07,2016-02-09,2016-02-09,2,7,1714409902.288391,DB,False
64,1185,4,2016-02-07,2016-02-08,2016-02-09,2,6,1714409902.288391,DB,True
65,996,4,2016-02-08,2016-02-09,2016-02-11,2,6,1714409902.288391,DB,True
66,1253,4,2016-02-09,2016-02-12,2016-02-12,2,7,1714409902.288391,DB,False
67,526,4,2016-02-09,2016-02-11,2016-02-10,3,8,1714409902.288391,DB,False
68,381,4,2016-02-10,2016-02-11,2016-02-13,2,6,1714409902.288391,DB,True
69,1413,4,2016-02-10,2016-02-12,2016-02-11,2,7,1714409902.288391,DB,False
71,797,4,2016-02-11,2016-02-14,2016-02-12,2,7,1714409902.288391,DB,False
72,1386,4,2016-02-12,2016-02-15,2016-02-13,1,2,1714409902.288391,DB,False
73,612,4,2016-02-12,2016-02-15,2016-02-14,2,7,1714409902.288391,DB,False
74,264,4,2016-02-13,2016-02-15,2016-02-15,2,7,1714409902.288391,DB,False
75,587,4,2016-02-14,2016-02-15,2016-02-17,2,6,1714409902.288391,DB,True
77,385,4,2016-02-16,2016-02-19,2016-02-19,1,2,1714409902.288391,DB,False
78,1182,4,2016-02-16,2016-02-18,2016-02-19,2,7,1714409902.288391,DB,True
79,529,4,2016-02-17,2016-02-20,2016-02-20,1,3,1714409902.288391,DB,False
80,397,4,2016-02-17,2016-02-20,2016-02-19,2,6,1714409902.288391,DB,False
81,521,4,2016-02-17,2016-02-19,2016-02-18,2,6,1714409902.288391,DB,False
82,1223,4,2016-02-18,2016-02-21,2016-02-20,2,6,1714409902.288391,DB,False
83,393,4,2016-02-19,2016-02-20,2016-02-20,1,3,1714409902.288391,DB,False
84,317,4,2016-02-20,2016-02-22,2016-02-21,2,7,1714409902.288391,DB,False
85,1174,4,2016-02-20,2016-02-23,2016-02-21,2,7,1714409902.288391,DB,False
86,276,4,2016-02-21,2016-02-22,2016-02-23,2,7,1714409902.288391,DB,True
87,516,4,2016-02-21,2016-02-22,2016-02-23,2,6,1714409902.288391,DB,True
88,1069,4,2016-02-21,2016-02-22,2016-02-23,2,6,1714409902.288391,DB,True
89,668,4,2016-02-21,2016-02-24,2016-02-24,3,8,1714409902.288391,DB,False
90,414,4,2016-02-23,2016-02-25,2016-02-24,2,7,1714409902.288391,DB,False
91,648,4,2016-02-25,2016-02-27,2016-02-28,1,2,1714409902.288391,DB,True
92,1309,4,2016-02-25,2016-02-28,2016-02-28,2,7,1714409902.288391,DB,False
93,1328,4,2016-02-26,2016-02-28,2016-02-27,1,3,1714409902.288391,DB,False
94,929,4,2016-02-27,2016-02-28,2016-02-29,1,2,1714409902.288391,DB,True
95,218,4,2016-02-27,2016-02-29,2016-02-28,2,7,1714409902.288391,DB,False
96,1094,4,2016-02-27,2016-02-29,2016-02-28,2,7,1714409902.288391,DB,False
97,204,4,2016-02-28,2016-02-29,2016-03-01,2,7,1714409902.288391,DB,True
98,1194,4,2016-02-28,2016-02-29,2016-02-29,2,6,1714409902.288391,DB,False
99,1165,4,2016-02-29,2016-03-01,2016-03-03,3,9,1714409902.288391,DB,True
100,1237,4,2016-03-01,2016-03-04,2016-03-03,2,7,1714409902.288391,DB,False
101,271,4,2016-03-01,2016-03-04,2016-03-04,3,8,1714409902.288391,DB,False
102,336,4,2016-03-02,2016-03-05,2016-03-03,2,7,1714409902.288391,DB,False
103,991,4,2016-03-03,2016-03-06,2016-03-05,1,2,1714409902.288391,DB,False
104,7,4,2016-03-03,2016-03-05,2016-03-05,2,7,1714409902.288391,DB,False
105,306,4,2016-03-03,2016-03-05,2016-03-04,2,7,1714409902.288391,DB,False
106,422,4,2016-03-04,2016-03-05,2016-03-05,3,9,1714409902.288391,DB,False
