order_id,item_id,product_id,quantity,list_price,discount,extract_time,source,USD_to_EGP,list_price_egp
1,1,20,1,599.99,0.2,1714409905.065816,DB,47.9,28739.521
1,2,8,2,1799.99,0.07,1714409905.065816,DB,47.9,86219.521
1,3,10,2,1549.0,0.05,1714409905.065816,DB,47.9,74197.09999999999
1,4,16,2,599.99,0.05,1714409905.065816,DB,47.9,28739.521
1,5,4,1,2899.99,0.2,1714409905.065816,DB,47.9,138909.52099999998
2,1,20,1,599.99,0.07,1714409905.065816,DB,47.9,28739.521
2,2,16,2,599.99,0.05,1714409905.065816,DB,47.9,28739.521
3,1,3,1,999.99,0.05,1714409905.065816,DB,47.9,47899.521
3,2,20,1,599.99,0.05,1714409905.065816,DB,47.9,28739.521
4,1,2,2,749.99,0.1,1714409905.065816,DB,47.9,35924.521
5,1,10,2,1549.0,0.05,1714409905.065816,DB,47.9,74197.09999999999
5,2,17,1,429.0,0.07,1714409905.065816,DB,47.9,20549.1
5,3,26,1,599.99,0.07,1714409905.065816,DB,47.9,28739.521
6,1,18,1,449.0,0.07,1714409905.065816,DB,47.9,21507.1
6,2,12,2,549.99,0.05,1714409905.065816,DB,47.9,26344.521
6,3,20,1,599.99,0.1,1714409905.065816,DB,47.9,28739.521
6,4,3,2,999.99,0.07,1714409905.065816,DB,47.9,47899.521
6,5,9,2,2999.99,0.07,1714409905.065816,DB,47.9,143699.52099999998
7,1,15,1,529.99,0.07,1714409905.065816,DB,47.9,25386.521
7,2,3,1,999.99,0.1,1714409905.065816,DB,47.9,47899.521
7,3,17,2,429.0,0.1,1714409905.065816,DB,47.9,20549.1
8,1,22,1,269.99,0.05,1714409905.065816,DB,47.9,12932.521
8,2,20,2,599.99,0.07,1714409905.065816,DB,47.9,28739.521
9,1,7,2,3999.99,0.1,1714409905.065816,DB,47.9,191599.52099999998
10,1,14,1,269.99,0.1,1714409905.065816,DB,47.9,12932.521
11,1,8,1,1799.99,0.05,1714409905.065816,DB,47.9,86219.521
11,2,22,2,269.99,0.1,1714409905.065816,DB,47.9,12932.521
11,3,16,2,599.99,0.2,1714409905.065816,DB,47.9,28739.521
12,1,4,2,2899.99,0.1,1714409905.065816,DB,47.9,138909.52099999998
12,2,11,1,1680.99,0.05,1714409905.065816,DB,47.9,80519.421
13,1,13,1,269.99,0.1,1714409905.065816,DB,47.9,12932.521
13,2,17,2,429.0,0.05,1714409905.065816,DB,47.9,20549.1
13,3,20,2,599.99,0.1,1714409905.065816,DB,47.9,28739.521
13,4,16,2,599.99,0.05,1714409905.065816,DB,47.9,28739.521
